State_Name,District_Name,Crop_Year,Season,Crop,Area,Rainfall,MaxTemp,Production,Productivity
Maharashtra,PUNE,2019,Kharif     ,Rice,54600,1085,30.74,107300,1.97
Maharashtra,RAIGAD,2019,Kharif     ,Rice,124600,1006.3,32.15,294600,2.36
Maharashtra,RATNAGIRI,2019,Kharif     ,Rice,77400,842.9,32.59,226100,2.92
Maharashtra,SANGLI,2019,Kharif     ,Rice,18700,730.6,30.66,35100,1.88
Maharashtra,SATARA,2019,Kharif     ,Rice,50800,912.5,30.76,82200,1.62
Maharashtra,SINDHUDURG,2019,Kharif     ,Rice,74600,918.1,32.44,196200,2.63
Maharashtra,SOLAPUR,2019,Kharif     ,Rice,400,454.6,32.61,100,0.25
Maharashtra,THANE,2019,Kharif     ,Rice,137500,2192.9,31.55,356800,2.59
Maharashtra,WARDHA,2019,Kharif     ,Rice,19400,890.7,33.45,31700,1.63
Maharashtra,WASHIM,2019,Kharif     ,Rice,2000,567.9,33.9,800,0.4
Maharashtra,YAVATMAL,2019,Kharif     ,Rice,1800,834,33.2,900,0.5
